Internal ID of the item,The name that will appear in game,value in copper coins,"1:swing/throw
2:Eat/use
3:Stab
4:Hold Up
5:Guns/Staffs",Total time that the animation of the item will take,Total time that the item will take,,,,Color of item in inventory,tileID of tile created when used,Flavortext,max amount the player can carry in a single inventory slot,hitbox width,hitbox height,"Used to place different styles of the same tile. For example, Tables share a TileID, but have different styles",,,,ProjectileID to shoot when used,Velocity of projectile,weapon sprite does no damage,,Damage Type,Damage Type,Damage Type,,,,,,,,,,,which set of ammo types it uses,set of ammo this item belongs to,,,,,,refers to a glowing texture drawn on item,equal to axe power/5,equal to pickaxe power,,,,,,,,used for Angler quests,used for Angler quests,,,,Damage Type,,,,Damage Type,,,,,,,,,,,,,,,,,,,,,,,
34,Wooden Chair,150,1,15,10,TRUE,TRUE,TRUE,-,15,-,99,12,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
35,Iron Anvil,5000,1,15,10,TRUE,TRUE,TRUE,-,16,Used to craft items from metal bars,99,28,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
36,Work Bench,150,1,15,10,TRUE,TRUE,TRUE,-,18,Used for basic crafting,99,28,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
37,Goggles,1000,-,-,-,-,-,-,-,-,-,-,28,12,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
38,Lens,500,-,-,-,-,-,-,-,-,-,99,12,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
39,Wooden Bow,100,5,30,30,-,-,-,-,-,-,-,12,28,-,5,4,-,1,6.1,TRUE,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
40,Wooden Arrow,5,-,-,-,TRUE,-,-,-,-,-,999,10,28,-,-,5,2,1,3,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
41,Flaming Arrow,10,-,-,-,TRUE,-,-,-,-,-,999,10,28,-,-,7,2,2,3.5,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
42,Shuriken,15,1,15,15,TRUE,-,-,-,-,-,999,18,20,-,1,10,-,3,9,TRUE,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
43,Suspicious Looking Eye,-,4,45,45,TRUE,-,-,-,-,Summons the Eye of Cthulhu,20,22,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
44,Demon Bow,18000,5,25,25,-,-,-,1,-,-,-,12,28,-,5,14,1,1,6.7,TRUE,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
45,War Axe of the Night,13500,1,30,15,-,-,TRUE,1,-,-,-,24,28,-,1,20,6,-,-,-,-,TRUE,-,-,-,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
46,Light's Bane,13500,1,20,-,-,-,-,1,-,-,-,24,28,-,1,17,5,-,-,-,-,TRUE,-,-,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
47,Unholy Arrow,40,-,-,-,TRUE,-,-,1,-,-,999,10,28,-,-,12,3,4,3.4,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
48,Chest,500,1,15,10,TRUE,TRUE,TRUE,-,21,-,99,26,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
49,Band of Regeneration,50000,-,-,-,-,-,-,1,-,Slowly regenerates life,-,22,22,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
50,Magic Mirror,50000,4,90,90,-,TRUE,-,1,-,Gaze in the mirror to return home,-,20,20,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
51,Jester's Arrow,100,-,-,-,TRUE,-,-,1,-,-,999,10,28,-,-,10,4,5,0.5,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
52,Angel Statue,300,1,15,10,TRUE,TRUE,TRUE,-,105,-,99,20,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
53,Cloud in a Bottle,50000,-,-,-,-,-,-,1,-,Allows the holder to double jump,-,16,24,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
54,Hermes Boots,50000,-,-,-,-,-,-,1,-,The wearer can run super fast,-,28,24,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
55,Enchanted Boomerang,50000,1,15,15,-,-,-,1,-,-,-,14,28,-,1,13,8,6,10,TRUE,-,TRUE,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
56,Demonite Ore,4000,1,15,10,TRUE,TRUE,TRUE,1,22,'Pulsing with dark energy',999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
57,Demonite Bar,16000,1,15,10,TRUE,TRUE,TRUE,1,239,'Pulsing with dark energy',99,20,20,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
58,Heart,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
59,Corrupt Seeds,500,1,15,10,TRUE,TRUE,TRUE,-,23,-,99,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
60,Vile Mushroom,50,-,-,-,-,-,-,-,-,-,99,16,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
61,Ebonstone Block,-,1,15,10,TRUE,TRUE,TRUE,-,25,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
62,Grass Seeds,20,1,15,10,TRUE,TRUE,TRUE,-,2,-,99,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
63,Sunflower,200,1,15,10,TRUE,TRUE,-,-,27,-,99,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
64,Vilethorn,10000,1,28,28,-,-,-,1,-,Summons a vile thorn,-,26,28,-,8,10,1,7,32,TRUE,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
65,Starfury,50000,1,20,40,-,-,-,2,-,Causes stars to rain from the sky,-,14,28,-,1,22,5,9,20,-,-,TRUE,-,-,'Forged with the fury of heaven',-,-,-,1.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,{R:150 G:150 B:150 A:0},-,-,-,-,-,-,-,-,-,-,-,-,1
66,Purification Powder,75,1,15,15,TRUE,-,-,-,-,Cleanses the evil,99,16,24,-,1,-,-,10,4,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
67,Vile Powder,100,1,15,15,TRUE,-,-,-,-,Banishes the Hallow,99,16,24,-,1,0,-,11,4,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
68,Rotten Chunk,10,-,-,-,-,-,-,-,-,'Looks tasty!',99,18,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
